ID;Title;Authors;Year;Abstract;Keywords;Database;Manual Decision
72;Deep Fakes in Healthcare: How Deep Learning Can Help to Detect Forgeries;Alaa Alsaheel and Reem Alhassoun and Reema Alrashed and Noura Almatrafi and Noura Almallouhi and Saleh Albahli;2023;With the increasing use of deep learning technology, there is a growing concern over creating deep fake images and videos that can potentially be used for fraud. In healthcare, manipulating medical images could lead to misdiagnosis and potentially life-threatening consequences. Therefore, the primary purpose of this study is to explore the use of deep learning algorithms to detect deep fake images by solving the problem of recognizing the handling of samples of cancer and other diseases. Therefore, this research proposes a framework that leverages state-of-the-art deep convolutional neural networks (CNN) and a large dataset of authentic and deep fake medical images to train a model capable of distinguishing between authentic and fake medical images. Specifically, the paper trained six CNN models, namely, ResNet101, ResNet50, DensNet121, DenseNet201, MobileNetV2, and MobileNet. These models had trained using 2000 samples over three classes: Untampered, False-Benign, and False-Malicious, and compared against several state-of-the-art deep fake detection models. The proposed model enhanced ResNet101 by adding more layers, achieving a training accuracy of 99%. The findings of this study show near-perfect accuracy in detecting instances of tumor injections and removals.;Deep learning, image processing, medical imaging, artificial intelligence;ScienceDirect;WAHR
78;Using deep learning techniques and genetic-based feature extraction for presentation attack mitigation;John Jenkins and Kaushik Roy and Joseph Shelton;2020;"Abstract
Biometric authentication systems are becoming more prevalent for commercial use with computers and smart devices. Biometric systems also have several vulnerable points that can be exploited by a hacker to gain unauthorized access to a system. Replay attacks focus on capturing feature extractors (FEs) during transmission, decrypting, and replaying for illegal access. The Genetic and Evolutionary Feature Extraction (GEFE) technique, developed at North Carolina A&T State University, recently showed promising results in mitigating replay attacks in combination with a feature selection algorithm. Biometric-based presentation attacks, the focus of this work, is another biometric system vulnerability primarily focused on presenting a biometric sample of quality to illegally gain access to secured data. Recently, deep learning techniques to mitigate presentation attacks have shown promising results. However, the accuracy of deep learning-based biometric presentation attack detection (PAD) methods are limited by the quality of the samples provided. In absence of large sets of original biometric sample data, data augmentation has been shown to be successful in generating synthetic biometric image data and improving the performance of deep learning techniques applied. The novelty of this paper lies in the following two aspects: First, a data augmentation technique with Generative Adversarial Networks (GANs) is used to generate comparative synthetic (spoofing) dataset. With the proliferation of deep fakes in media, this technique should provide insight on the GAN technique often used. Once properly trained, the synthetic images are used to create spoofing datasets. Second, the GEFE technique is used in combination with the GANs to generate improved anti-spoofing feature extractors optimized to mitigate presentation attacks. The combination of GEFE and GANs is used to identify those discriminative biometric features used to mitigate synthetic presentation attacks. The GEFE ?+ ?GAN technique outperforms the LBP and GEFE techniques alone in overall identification and verification results on spoofing datasets.";, , ;ScienceDirect;WAHR
87;A study on data augmentation in voice anti-spoofing;Ariel Cohen and Inbal Rimon and Eran Aflalo and Haim H. Permuter;2022;In this paper we perform an in depth study of how data augmentation techniques improve synthetic or spoofed audio detection. Specifically, we propose methods to deal with channel variability, different audio compressions, different bandwidths and unseen spoofing attacks. These challenges, have all been shown to significantly degrade the performance of audio based systems and anti spoofing systems. Our results are based on the ASVspoof 2021 challenge, in the Logical Access (LA) and Deep Fake (DF) categories. Our study is Data-Centric, meaning that the models are fixed and we significantly improve the results by manipulating the data. We introduce two forms of data augmentation - compression augmentation for the DF part, and compression and channel augmentation for the LA part. In addition, we introduce a double sided log spectrogram feature design that improves the results significantly by centering the sub-bands of interest, where the discriminating spoofing artifacts can be localized. Furthermore, a new type of online data augmentation, SpecAverage, is introduced. This method includes masking the audio features with their average value in order to improve generalization. Our best single system and fusion schemes both achieve state of the art performance in the DF category, with an EER of 15.46% and 14.27%, respectively. Our best system for the LA task reduced the best baseline EER by 50% and the min t-DCF by 16%. Our techniques to deal with spoofed data from a wide variety of distributions can be replicated and can help anti spoofing and speech based systems enhance their results.;ASVspoof 2021, Audio data augmentation, Data-centric AI, SpecAugment, Voice anti spoofing, Voice deep fake;ScienceDirect;FALSCH
92;Audio-deepfake detection: Adversarial attacks and countermeasures;Mouna Rabhi and Spiridon Bakiras and Roberto {Di Pietro};2024;Audio has always been a powerful resource for biometric authentication: thus, numerous AI-based audio authentication systems (classifiers) have been proposed. While these classifiers are effective in identifying legitimate human-generated input their security, to the best of our knowledge, has not been explored thoroughly when confronted with advanced attacks that leverage AI-generated deepfake audio. This issue presents a serious concern regarding the security of these classifiers because, e.g., samples generated using adversarial attacks might fool such classifiers, resulting in incorrect classification. In this study, we prove the point: we demonstrate that state-of-the-art audio deepfake classifiers are vulnerable to adversarial attacks. In particular, we design two adversarial attacks on a state-of-the-art audio-deepfake classifier, i.e., the Deep4SNet classification model, which achieves 98.5% accuracy in detecting fake audio samples. The designed adversarial attacks11The code of the attacks will be released open-source in the camera ready. leverage a generative adversarial network architecture and reduce the detectors accuracy to nearly 0%. In particular, under graybox attack scenarios, we demonstrate that when starting from random noise, we can reduce the accuracy of the state-of-the-art detector from 98.5% to only 0.08%. To mitigate the effect of adversarial attacks on audio-deepfake detectors, we propose a highly generalizable, lightweight, simple, and effective add-on defense mechanism that can be implemented in any audio-deepfake detector. Finally, we discuss promising research directions.;Authentication, Adversarial attacks, Audio deepfake, Fake voice detection, GAN, Biometrics, Security;ScienceDirect;FALSCH
125;Acoustic features analysis for explainable machine learning-based audio spoofing detection;Carmen Bisogni and Vincenzo Loia and Michele Nappi and Chiara Pero;2024;The rapid evolution of synthetic voice generation and audio manipulation technologies poses significant challenges, raising societal and security concerns due to the risks of impersonation and the proliferation of audio deepfakes. This study introduces a lightweight machine learning (ML)-based framework designed to effectively distinguish between genuine and spoofed audio recordings. Departing from conventional deep learning (DL) approaches, which mainly rely on image-based spectrogram features or learning-based audio features, the proposed method utilizes a diverse set of hand-crafted audio features  such as spectral, temporal, chroma, and frequency-domain features  to enhance the accuracy of deepfake audio content detection. Through extensive evaluation and experiments on three well-known datasets, ASVSpoof2019, FakeAVCelebV2, and an In-The-Wild database, the proposed solution demonstrates robust performance and a high degree of generalization compared to state-of-the-art methods. In particular, our method achieved 89% accuracy on ASVSpoof2019, 94.5% on FakeAVCelebV2, and 94.67% on the In-The-Wild database. Additionally, the experiments performed on explainability techniques clarify the decision-making processes within ML models, enhancing transparency and identifying crucial features essential for audio deepfake detection.;Deepfake audio, Deepfake detection, Audio spoofing, Explainable AI, Acoustic features;ScienceDirect;FALSCH
150;Audio Deepfake Detection by using Machine and Deep Learning;"H. H. Kilinc; F. Kaledibi";2023;Fake voices are one of the hottest topics in cyber security, forensics, and social media. There are a variety of usage scenarios, from speech disorders to fake news to telephone and financial fraud. With products using artificial intelligence technology such as Google Audio LM, it is possible to produce realistic, well-structured, and consistent sound sequences. These products, although synthetic, can accurately replicate intonation, accents, and other unique features by mimicking the human voice. A solution using machine and deep learning methods to recognize fake voices is proposed. In the feature extraction stage, Mel-frequency cepstral coefficients (MFCCs) are used. Then these features are classified using machine and deep learning-based models. According to the results obtained, the sound is judged to be real or fake.;"Audio Deepfake;MFCC;Feature Extraction;Fake Audio Detection";IEE;FALSCH
268;Deepfake Audio Detection Using Spectrogram-based Feature and Ensemble of Deep Learning Models;"L. Pham; P. Lam; T. Nguyen; H. Nguyen; A. Schindler";2024;In this paper, we propose a deep-learning-based system for the task of deepfake audio detection. This work is a part of the proposed toolchain for speech analysis in EUCINF (EUropean Cyber and INFormation) project, which is an European project with multiple partners in Europe. In particular, the raw input audio is first transformed into various spectrograms using three transformation methods of Short-time Fourier Transform (STFT), Constant-Q Transform (CQT), Wavelet Transform (WT) combined with different auditory- based filters of Mel, Gammatone, linear filters (LF), and discrete cosine transform (DCT). Given the spectrograms, we evaluate a wide range of classification models based on three deep learning approaches. The first approach is to train the spectrograms using our proposed baseline models of CNN-based model (CNN- baseline), RNN-based model (RNN-baseline), C-RNN model (C-RNN baseline). Meanwhile, the second approach is to apply the transfer learning from computer vision models such as ResNet- 18, MobileNet-V3, EfficientNet-BO, DenseNet-121, SuffleNet- V2, Swint, Convnext- Tiny, GoogLeNet, MNASsnet, and Reg- Net. In the third approach, we leverage the state-of-the-art audio pre-trained models of Whisper, Seamless, Speechbrain, and Pyannote to extract audio embed dings from the input spectrograms. Then, the audio embed dings are explored by a Multilayer perceptron (MLP) model to detect fake or real audio samples. Finally, high-performance deep learning models from these approaches are fused to achieve the best performance. We evaluated our proposed models on ASVspoof 2019 benchmark dataset. Our best ensemble model achieved an Equal Error Rate (EER) of 0.03, which is highly competitive to top-performing systems in the ASVspoofing 2019 challenge. Experimental results also highlight the potential of selective spectrograms and deep learning approaches to enhance model performance on the task of audio deepfake detection.;"Items- deepfake audio;spectrogram;feature extraction;classification model";IEE;FALSCH
282;Integrating Audio-Visual Features For Multimodal Deepfake Detection;"S. Muppalla; S. Jia; S. Lyu";2023;Deepfakes are AI-generated media in which an image or video has been digitally modified. The advancements made in deepfake technology have led to privacy and security issues. Most deepfake detection techniques rely on the detection of a single modality. Existing methods for audio-visual detection do not always surpass that of the analysis based on single modalities. Therefore, this paper proposes an audio visual based method for deepfake detection, which integrates fine-grained deepfake identification with binary classification. We categorize the samples into four types by combining labels specific to each single modality. This method enhances the detection under intra-domain and cross-domain testing.;"Deepfake detection;Multi-modality deepfakes;Audio-visual feature learning";IEE;FALSCH
293;Voice Analysis for Detecting Artificial Speech and Predicting Gender and Age: A Literature Survey;"R. Bharadwaj; R. Dugad; A. Gile; G. Patil; S. Hatyalikar";2023;This article surveys the literature on voice analysis. The present invention relates to a method and system for analyzing voice data to detect artificial speech then demodulate it to original speech and predict the gender and age of the speaker if the input speech is not fake. The system includes a voice analysis module that processes the voice data and extracts features from the voice signals. The extracted features are then compared with pre-stored reference features to determine the authenticity of the voice signal and the gender and age of the speaker.;"Voice Detection;Audio Processing;deep learning;gender voice prediction;neural networks";IEE;FALSCH
328;Bot or Human? Detection of DeepFake Text with Semantic, Emoji, Sentiment and Linguistic Features;"A. T. Y. Chong; H. N. Chua; M. B. Jasser; R. T. K. Wong";2023;Detecting machine-generated text (MGT), also known as Deepfake text, has become increasingly important in Artificial Intelligence (AI) age and social media platforms. With the proliferation of MGT and the potential consequences of its dissemination, there is a pressing need to develop effective methods for distinguishing between MGT and human-written text (HWT). Our research aim has two-fold: firstly, to examine the inherent differences between MGT and HWT on Twitter, and secondly, to develop a classifier specifically designed for MGT detection on the platform. This classifier utilizes contextualized text embeddings as its foundation while considering additional linguistic features, sentiment features, and emoji embeddings. Our experimental results demonstrate that incorporating additional features enhances the model's ability to detect MGT. Combining fine-tuned BERT embeddings with emoji and linguistic features using a multi-layer perceptron classifier achieves the highest accuracy rate of 88.3%. Our analysis reveals distinct characteristics of MGT compared to HWT, including differences in engagement behavior, linguistic patterns, named entities, sentiment expressions, and text perplexity. Our research contributes to the field of MGT detection by offering a comprehensive approach that combines semantic text embeddings with supplementary features. The proposed model provides a significant step forward in addressing the challenge of Deepfake text detection.;"Artificial Intelligence;Machine Learning;Data Mining;Deepfake Detection;Feature Engineering";IEE;FALSCH
335;Audio Deepfake Detection Using Deep Learning;"R. Anagha; A. Arya; V. H. Narayan; S. Abhishek; T. Anjali";2023;The capacity to identify real audio recordings from their modified counterparts is essential in the age of sophisticated digital manipulation for maintaining security and trust in a vari- ety of applications, from media forensics to voice authentication systems. This research aims to create a deep learning model that can distinguish between authentic and altered audio files, with an emphasis on identifying audio deepfakes. The study uses Mel spectrogram representations and data augmentation techniques to effectively extract features from the ASV spoof 2019 dataset and train models. Convolutional neural networks (CNNs) comprising a number of layers, including convolutional, pooling, batch normalization, ReLU activation, dropout, global average pooling, and a dense classification layer are used as the foundation of the design. The Adam optimizer is used to optimize the model once it has been trained using binary cross-entropy loss, and a variety of metrics, such as accuracy, F1 score, ROC curve, and AUC, are used to track its performance. By making it easier to identify audio deepfakes, this project will ultimately increase the security and integrity of audio data in the digital world.;"Audio Deepfake Detection;Deep Learning;Convolutional Neural Network (CNN);Mel Spectrogram;ASVspoof 2019 Dataset;Binary Classification;Feature Extraction;Perfor- mance Metrics";IEE;FALSCH
347;Deepfake Speech Detection Through Emotion Recognition: A Semantic Approach;"E. Conti; D. Salvi; C. Borrelli; B. Hosler; P. Bestagini; F. Antonacci; A. Sarti; M. C. Stamm; S. Tubaro";2022;In recent years, audio and video deepfake technology has advanced relentlessly, severely impacting peoples reputation and reliability. Several factors have facilitated the growing deepfake threat. On the one hand, the hyper-connected society of social and mass media enables the spread of multimedia content worldwide in real-time, facilitating the dissemination of counterfeit material. On the other hand, neural network-based techniques have made deepfakes easier to produce and difficult to detect, showing that the analysis of low-level features is no longer sufficient for the task. This situation makes it crucial to design systems that allow detecting deepfakes at both video and audio levels. In this paper, we propose a new audio spoofing detection system leveraging emotional features. The rationale behind the proposed method is that audio deepfake techniques cannot correctly synthesize natural emotional behavior. Therefore, we feed our deepfake detector with high-level features obtained from a state-of-the-art Speech Emotion Recognition (SER) system. As the used descriptors capture semantic audio information, the proposed system proves robust in cross-dataset scenarios outperforming the considered baseline on multiple datasets.;"deepfake;audio forensics;deep learning";IEE;FALSCH
376;Speech Audio Deepfake Detection via Convolutional Neural Networks;"L. P. Valente; M. M. S. de Souza; A. M. D. Rocha";2024;The production of artificial media content brings on ethical, legal and social implications for journalism, education, entertainment and industry. Software tools are currently available for anyone who intent to maliciously generate or tamper with digital audio voices. In this context, detecting voice authenticity is important to avoid the consequences of its criminal use. Here, we propose the application of convolutional neural networks (CNN) and Mel spectograms in detection of artificially generated voices. Supervised experiments with speech samples signals, collected from several voice datasets, were conducted to find the best CNN topology that performs the detection, in terms of accuracy, regardless of the language spoken. The best accuracy scores found are: 99% for the FoR dataset, 94% for the ASV and 98% for the WaveFake. Training the model with all datasets together, and testing with individual datasets, yields accuracies of 98% for the FoR base, 92% for the ASV and 96% for WaveFake. These results are compatible with those found in state-of-the-art, proving the viability of the model.;"Forensics analysis;Deepfake;Voice cloning;Computer vision;Machine learning;Deep learning";IEE;FALSCH
387;Deepfake Audio Detection: A Deep Learning Based Solution for Group Conversations;"R. L. M. A. P. C. Wijethunga; D. M. K. Matheesha; A. A. Noman; K. H. V. T. A. De Silva; M. Tissera; L. Rupasinghe";2020;The recent advancements in deep learning and other related technologies have led to improvements in various areas such as computer vision, bio-informatics, and speech recognition etc. This research mainly focuses on a problem with synthetic speech and speaker diarization. The developments in audio have resulted in deep learning models capable of replicating natural-sounding voice also known as text-to-speech (TTS) systems. This technology could be manipulated for malicious purposes such as deepfakes, impersonation, or spoofing attacks. We propose a system that has the capability of distinguishing between real and synthetic speech in group conversations.We built Deep Neural Network models and integrated them into a single solution using different datasets, including but not limited to Urban-Sound8K (5.6GB), Conversational (12.2GB), AMI-Corpus (5GB), and FakeOrReal (4GB). Our proposed approach consists of four main components. The speech-denoising component cleans and preprocesses the audio using Multilayer- Perceptron and Convolutional Neural Network architectures, with 93% and 94% accuracies accordingly. The speaker diarization was implemented using two different approaches, Natural Language Processing for text conversion with 93% accuracy and Recurrent Neural Network model for speaker labeling with 80% accuracy and 0.52 Diarization-Error-Rate. The final component distinguishes between real and fake audio using a CNN architecture with 94 % accuracy. With these findings, this research will contribute immensely to the domain of speech analysis.;"Deep Neural Networks;Natural Language Processing;Speaker Diarization;Deepfake;Deep learning";IEE;FALSCH
416;Document Image Forgery Detection Based on Deep Learning Models;"P. Yang; W. Fang; F. Zhang; L. Bai; Y. Gao";2022;With the improvement of the communication speed and the popularization of the Internet, images have become the most common information medium in life. At the same time, the adverse effects of forged images in the media, credit investigation, finance and academic fields are becoming more and more significant. Therefore, in recent years, the research on forged image identification algorithms has been active worldwide. Image forgery has different classification methods. According to whether the forgery uses deep learning methods, it can be divided into deep forged images and traditional forged images. It can also be divided into ordinary image forged and document image forged according to whether the image is a text image. Different forgery methods will leave different forgery traces in the image, corresponding to different forgery identification methods. Aiming at document forgery images, this paper proposes a forgery detection algorithm based on deep learning and fusion of error level analysis (ELA) information. Compared with the previous forgery identification algorithms, the algorithm in this paper can not only identify whether the document image is forged, but can also locate the forged text area. The algorithm proposed in this paper supports the detection of document image forgery generated by cutting, copying, erasing and deep learning methods. The detection algorithm of this paper participated in the fifth forgery detection competition of Ali Tianchi and won the 32nd place among 1470 participating teams.;"Document Image Forgery Identification;Deep Learning;ELA Image Processing";IEE;FALSCH
847;Detection of AI-Generated Images From Various Generators Using Gated Expert Convolutional Neural Network;"R. Ahmad Fattah Saskoro; N. Yudistira; T. Noor Fatyanosa";2024;The rapid advancement of artificial intelligence (AI), particularly in text-to-image generative models, has led to a proliferation of synthetic images. This progress, while remarkable, raises concerns about misuse in fraudulent activities. To address this issue, we propose a Convolutional Neural Network (CNN)-based approach for classifying AI-generated images from multiple generators. We introduce a gated CNN model that leverages mixed datasets for improved training efficiency and performance. This approach eliminates the need for extensive tuning with each new dataset and mitigates the risk of catastrophic forgetting. Our experiments demonstrate that the gated CNN model slightly outperforms traditional single CNN models, providing a more robust solution for identifying AI-generated images. This paper presents a comprehensive comparison of methods and offers insights into enhancing the classification of AI-generated images.;"AI-generated images;CNN;gated network;image classification";IEE;WAHR
