ID,Title,Authors,Year,Abstract,Keywords,Datenbank
11,Enhancing Deepfake Detection: Spatial-Temporal Preprocessing and Self-Attention ResI3D Model,"Son, Sangho and Lee, Jaekyu and Min, Kyungha and Kim, Wooju",2024,"Deepfake technology is the outcome of employing deep learning techniques to overlay the face of one individual onto the video of another. As deep learning technology advances rapidly, the proliferation of high-quality deepfakes for malicious digital activities is notably on the rise. With growing concerns about the misuse of deepfake technology, there is an increasing demand for research into deep learning-based methodologies to detect and counteract it. While Deepfake detection using deep learning has been a subject of prior research, these approaches primarily rely on images hence not utilizing temporal information. Additionally, research combining CNN and RNN has inherent limitations. It operates with compressed data, resulting in the loss of spatial information and the utilization of the inherent temporal characteristics in pixel-to-pixel temporal data. In this study, we propose a detection model that harnesses the inherent attributes of video data through self-attention on both the spatial and temporal axes, using the ResI3D model along with the Non-Local Block. Additionally, we conducted experiments during the preprocessing phase to validate and implement methods that facilitate the model's effective learning of both temporal and spatial information. As a result, our model demonstrated enhanced performance when compared to existing deepfake video detection models.","Anomaly Detection, Computer Vision, Deepfakes, Neural Networks",ACM
12,Can Deepfakes be created on a whim?,"Mehta, Pulak and Jagatap, Gauri and Gallagher, Kevin and Timmerman, Brian and Deb, Progga and Garg, Siddharth and Greenstadt, Rachel and Dolan-Gavitt, Brendan",2023,"Recent advancements in machine learning and computer vision have led to the proliferation of Deepfakes. As technology democratizes over time, there is an increasing fear that novice users can create Deepfakes, to discredit others and undermine public discourse. In this paper, we conduct user studies to understand whether participants with advanced computer skills and varying level of computer science expertise can create Deepfakes of a person saying a target statement using limited media files. We conduct two studies; in the first study (n = 39) participants try creating a target Deepfake in a constrained time frame using any tool they desire. In the second study (n = 29) participants use pre-specified deep learning based tools to create the same Deepfake. We find that for the first study, of the participants successfully created complete Deepfakes with audio and video, whereas for the second user study, of the participants were successful in stitching target speech to the target video. We further use Deepfake detection software tools as well as human examiner-based analysis, to classify the successfully generated Deepfake outputs as fake, suspicious, or real. The software detector classified of the Deepfakes as fake, whereas the human examiners classified of the videos as fake. We conclude that creating Deepfakes is a simple enough task for a novice user given adequate tools and time; however, the resulting Deepfakes are not sufficiently real-looking and are unable to completely fool detection software as well as human examiners.","deepfakes, generative models, video synthesis",ACM
13,Data Augmentation-based Novel Deep Learning Method for Deepfaked Images Detection,"Iqbal, Farkhund and Abbasi, Ahmed and Javed, Abdul Rehman and Almadhor, Ahmad and Jalil, Zunera and Anwar, Sajid and Rida, Imad",2024,"Recent advances in artificial intelligence have led to deepfake images, enabling users to replace a real face with a genuine one. deepfake images have recently been used to malign public figures, politicians, and even average citizens. deepfake but realistic images have been used to stir political dissatisfaction, blackmail, propagate false news, and even carry out bogus terrorist attacks. Thus, identifying real images from fakes has got more challenging. To avoid these issues, this study employs transfer learning and data augmentation technique to classify deepfake images. For experimentation, 190,335 RGB-resolution deepfake and real images and image augmentation methods are used to prepare the dataset. The experiments use the deep learning models: convolutional neural network (CNN), Inception V3, visual geometry group (VGG19), and VGG16 with a transfer learning approach. Essential evaluation metrics (accuracy, precision, recall, F1-score, confusion matrix, and AUC-ROC curve score) are used to test the efficacy of the proposed approach. Results revealed that the proposed approach achieves an accuracy, recall, F1-score and AUC-ROC score of 90% and 91% precision, with our fine-tuned VGG16 model outperforming other DL models in recognizing real and deepfakes.","Deepfake detection, data augmentation, image processing, deep learning, artificial intelligence, transfer learning",ACM
14,Disrupting Deepfakes: A Survey on Adversarial Perturbation Techniques and Prevention Strategies,"Bagaria, Utkarsh and Kumar, Vijit and Rajesh, Tanvi and Deepak, Vibhav and S S, Shylaja",2024,"Ensuring digital integrity is paramount in our digitally connected world, and the escalating threat of deepfakes poses a substantial challenge amidst rapid technological advancements. The proliferation of sophisticated techniques for crafting highly realistic deepfakes has raised concerns about their potential for causing significant personal and industrial harm, including defamation and misinformation. Although strides have been made in developing detection methods, irreparable damage is often inflicted once a deepfake infiltrates the public domain. This paper discusses multiple approaches to mitigate the deepfake predicament at its source, emphasizing the need to prevent their generation. We analyse leveraging adversarial machine learning algorithms to generate perturbations that fortify against deepfake creation. By disrupting the underlying algorithms attempting to produce deceptive content, these approaches seek to thwart the inception of harmful deepfakes. This proactive stance aims to preclude the detrimental consequences associated with the release of such manipulated media. The research delves into the active domain of adversarial perturbation generation, exploring innovative methodologies to safeguard against the ever-evolving landscape of deepfake technology. This paper not only contributes to the ongoing discourse on internet safety but also underscores the wide-reaching implications and promising prospects of adversarial machine learning in combating the deepfake menace.","Adversarial Machine Learning, Deepfake, Discriminator, Generator, Gradient, Perturbation",ACM
15,Recapture Detection to Fight Deep Identity Theft,"Trabelsi, Anis and Pic, Marc and Dugelay, Jean-Luc",2023,"The progress made in deep learning has allowed the deployment of more powerful biometric authentication systems instead of traditional ones based on passwords or PIN codes. Facial recognition is widely used on smartphones to grant user access. However, advances in deep learning also improve methods for doctoring images and videos. A fraudulent user can use these methods to steal the identity of another person. It is very easy for impostors to present to the smartphone an image or video of the victim's face displayed on another screen. In this paper, we describe the security risks when a facial recognition system is attacked by presenting an image, a video or an interactive deepfake displayed on a screen. We also present a deep learning-based method to detect this kind of attack.","recaptured image detection, identity theft, face anti-spoofing, e-KYC, digital image forensics",ACM
16,Robust Deepfake Detection by Addressing Generalization and Trustworthiness Challenges: A Short Survey,"Liu, Ping and Tao, Qiqi and Zhou, Joey",2024,"The rapid advancement of deep learning technologies has led to a proliferation of deepfake content, posing serious threats to security, privacy, and trust in digital information. This paper explores the evolution of robust deepfake detection methods over recent years from two perspectives, specifically, generalized and trustworthy detection. As numerous generative techniques continuously emerge, generalized detection emphasizes the robustness against data distribution shift represented by unseen manipulation at testing time. By systematically reviewing generalized detection methods, we categorize these approaches into input-level, model-level, and learning-level. Trustworthy detection aims to enhance robustness against attacks that maliciously fail the detection system, including adversarial and backdoor attacks. To address these threats, researchers have developed robust defense strategies, including adversarial feature similarity learning and ensemble methods. By providing an overview of robust detection methods, attack techniques, and defense strategies, this paper highlights the challenges and advancements in creating reliable and generalizable deepfake detection systems.","deepfake detection, generalization, robustness, trustworthy",ACM
17,Autoencoder-based Data Augmentation for Deepfake Detection,"Stanciu, Dan-Cristian and Ionescu, Bogdan",2023,"Image generation has seen huge leaps in the last few years. Less than 10 years ago we could not generate accurate images using deep learning at all, and now it is almost impossible for the average person to distinguish a real image from a generated one. In spite of the fact that image generation has some amazing use cases, it can also be used with ill intent. As an example, deepfakes have become more and more indistinguishable from real pictures and that poses a real threat to society. It is important for us to be vigilant and active against deepfakes, to ensure that the false information spread is kept under control. In this context, the need for good deepfake detectors feels more and more urgent. There is a constant battle between deepfake generators and deepfake detection algorithms, each one evolving at a rapid pace. But, there is a big problem with deepfake detectors: they can only be trained on so many data points and images generated by specific architectures. Therefore, while we can detect deepfakes on certain datasets with near 100% accuracy, it is sometimes very hard to generalize and catch all real-world instances. Our proposed solution is a way to augment deepfake detection datasets using deep learning architectures, such as Autoencoders or U-Net. We show that augmenting deepfake detection datasets using deep learning improves generalization to other datasets. We test our algorithm using multiple architectures, with experimental validation being carried out on state-of-the-art datasets like CelebDF and DFDC Preview. The framework we propose can give flexibility to any model, helping to generalize to unseen datasets and manipulations.","autoencoder, data augmentation, deep learning, deepfake, digital video forensics, face manipulation, generalization",ACM
18,DEEPFAKER: A Unified Evaluation Platform for Facial Deepfake and Detection Models,"Wang, Li and Meng, Xiangtao and Li, Dan and Zhang, Xuhong and Ji, Shouling and Guo, Shanqing",2024,"Deepfake data contains realistically manipulated faces�its abuses pose a huge threat to the security and privacy-critical applications. Intensive research from academia and industry has produced many deepfake/detection models, leading to a constant race of attack and defense. However, due to the lack of a unified evaluation platform, many critical questions on this subject remain largely unexplored. How is the anti-detection ability of the existing deepfake models? How generalizable are existing detection models against different deepfake samples? How effective are the detection APIs provided by the cloud-based vendors? How evasive and transferable are adversarial deepfakes in the lab and real-world environment? How do various factors impact the performance of deepfake and detection models?To bridge the gap, we design and implement DEEPFAKER1 a unified and comprehensive deepfake detection evaluation platform. Specifically, DEEPFAKER has integrated 10 state-of-the-art deepfake methods and 9 representative detection methods, while providing a user-friendly interface and modular design that allows for easy integration of new methods. Leveraging DEEPFAKER, we conduct a large-scale empirical study of facial deepfake/detection models and draw a set of key findings: (i)&nbsp;the detection methods have poor generalization on samples generated by different deepfake methods; (ii)&nbsp;there is no significant correlation between anti-detection ability and visual quality of deepfake samples; (iii)&nbsp;the current detection APIs have poor detection performance and adversarial deepfakes can achieve about 70% attack success rate on all cloud-based vendors, calling for an urgent need to deploy effective and robust detection APIs; (iv)&nbsp;the detection methods in the lab are more robust against transfer attacks than the detection APIs in the real-world environment; and (v)&nbsp;deepfake videos may not always be more difficult to detect after video compression. We envision that DEEPFAKER will benefit future research on facial deepfake and detection.","Facial deepfake, deepfake detection, adversarial machine learning, experimental evaluation",ACM
19,PUFshield: A Hardware-Assisted Approach for Deepfake Mitigation Through PUF-Based Facial Feature Attestation,"Bathalapalli, Venkata Karthik Vishnu Vardhan and Yanambaka, Venkata Prasanth and Mohanty, Saraju and Kougianos, Elias",2024,"Deepfake has emerged as a threat to individual�s privacy and identity. It uses advanced deep learning algorithms to synthesize visual, text, and audio from multimedia content in a realistic way. The advancement of Deepfake techniques is posing a question on the integrity of the digital content on social media. This work presents a novel hardware assisted Deepfake mitigation approach through the device and content integrity verification. In this work, the potential of hardware security primitive Physical Unclonable Functions (PUF) for mitigation of visual Deepfakes has been explored. The proposed framework presents a novel PUF-based image attestation technique that uses human facial features to create a unique pseudo-identity. The proposed architecture maps facial key point coordinates of each person in an image to PUF and creates a unique PUF generated key thereby having a unique pseudo identity for each image. Experimental evaluation uses Dlib facial detection model for facial attribute extraction and uses Arbiter PUF for image attestation.","Deepfake, Deepfake Mitigation, Hardware Assisted Security (HAS), Physical Unclonable Functions (PUF), Security-by-Design (SbD)",ACM
20,Deepfake Video Detection via Predictive Representation Learning,"Ge, Shiming and Lin, Fanzhao and Li, Chenyu and Zhang, Daichi and Wang, Weiping and Zeng, Dan",2022,"Increasingly advanced deepfake approaches have made the detection of deepfake videos very challenging. We observe that the general deepfake videos often exhibit appearance-level temporal inconsistencies in some facial components between frames, resulting in discriminative spatiotemporal latent patterns among semantic-level feature maps. Inspired by this finding, we propose a predictive representative learning approach termed Latent Pattern Sensing to capture these semantic change characteristics for deepfake video detection. The approach cascades a Convolution Neural Network-based encoder, a ConvGRU-based aggregator, and a single-layer binary classifier. The encoder and aggregator are pretrained in a self-supervised manner to form the representative spatiotemporal context features. Then, the classifier is trained to classify the context features, distinguishing fake videos from real ones. Finally, we propose a selective self-distillation fine-tuning method to further improve the robustness and performance of the detector. In this manner, the extracted features can simultaneously describe the latent patterns of videos across frames spatially and temporally in a unified way, leading to an effective and robust deepfake video detector. Extensive experiments and comprehensive analysis prove the effectiveness of our approach, e.g., achieving a very highest Area Under Curve (AUC) score of 99.94% on FaceForensics++ benchmark and surpassing 12 states of the art at least 7.90%@AUC and 8.69%@AUC on challenging DFDC and Celeb-DF(v2) benchmarks, respectively.","video understanding, deep learning, representation learning, Deepfake video detection",ACM
21,Human Perception of Audio Deepfakes,"M\""{u}ller, Nicolas M. and Pizzi, Karla and Williams, Jennifer",2022,"The recent emergence of deepfakes has brought manipulated and generated content to the forefront of machine learning research. Automatic detection of deepfakes has seen many new machine learning techniques. Human detection capabilities, however, are far less explored. In this paper, we present results from comparing the abilities of humans and machines for detecting audio deepfakes used to imitate someone's voice. For this, we use a web-based application framework formulated as a game. Participants were asked to distinguish between real and fake audio samples. In our experiment, 410 unique users competed against a state-of-the-art AI deepfake detection algorithm for 13229 total of rounds of the game. We find that humans and deepfake detection algorithms share similar strengths and weaknesses, both struggling to detect certain types of attacks. This is in contrast to the superhuman performance of AI in many application areas such as object detection or face recognition. Concerning human success factors, we find that IT professionals have no advantage over non-professionals but native speakers have an advantage over non-native speakers. Additionally, we find that older participants tend to be more susceptible than younger ones. These insights may be helpful when designing future cybersecurity training for humans as well as developing better detection algorithms.","presentation attack, human perception, games, deepfake, audio spoofing",ACM
22,The MeVer DeepFake Detection Service: Lessons Learnt from Developing and Deploying in the Wild,"Baxevanakis, Spiros and Kordopatis-Zilos, Giorgos and Galopoulos, Panagiotis and Apostolidis, Lazaros and Levacher, Killian and Baris Schlicht, Ipek and Teyssou, Denis and Kompatsiaris, Ioannis and Papadopoulos, Symeon",2022,"Enabled by recent improvements in generation methodologies, DeepFakes have become mainstream due to their increasingly better visual quality, the increase in easy-to-use generation tools and the rapid dissemination through social media. This fact poses a severe threat to our societies with the potential to erode social cohesion and influence our democracies. To mitigate the threat, numerous DeepFake detection schemes have been introduced in the literature but very few provide a web service that can be used in the wild. In this paper, we introduce the MeVer DeepFake detection service, a web service detecting deep learning manipulations in images and video. We present the design and implementation of the proposed processing pipeline that involves a model ensemble scheme, and we endow the service with a model card for transparency. Experimental results show that our service performs robustly on the three benchmark datasets while being vulnerable to Adversarial Attacks. Finally, we outline our experience and lessons learned when deploying a research system into production in the hopes that it will be useful to other academic and industry teams.","web service, trustworthy AI, DeepFake detection",ACM
23,Stance-level Sarcasm Detection with BERT and Stance-centered Graph Attention Networks,"Zhang, Yazhou and Ma, Dan and Tiwari, Prayag and Zhang, Chen and Masud, Mehedi and Shorfuzzaman, Mohammad and Song, Dawei",2023,"Computational Linguistics (CL) associated with the Internet of Multimedia Things (IoMT)-enabled multimedia computing applications brings several research challenges, such as real-time speech understanding, deep fake video detection, emotion recognition, home automation, and so on. Due to the emergence of machine translation, CL solutions have increased tremendously for different natural language processing (NLP) applications. Nowadays, NLP-enabled IoMT is essential for its success. Sarcasm detection, a recently emerging artificial intelligence (AI) and NLP task, aims at discovering sarcastic, ironic, and metaphoric information implied in texts that are generated in the IoMT. It has drawn much attention from the AI and IoMT research community. The advance of sarcasm detection and NLP techniques will provide a cost-effective, intelligent way to work together with machine devices and high-level human-to-device interactions. However, existing sarcasm detection approaches neglect the hidden stance behind texts, thus insufficient to exploit the full potential of the task. Indeed, the stance, i.e., whether the author of a text is in favor of, against, or neutral toward the proposition or target talked in the text, largely determines the text�s actual sarcasm orientation. To fill the gap, in this research, we propose a new task: stance-level sarcasm detection (SLSD), where the goal is to uncover the author�s latent stance and based on it to identify the sarcasm polarity expressed in the text. We then propose an integral framework, which consists of Bidirectional Encoder Representations from Transformers (BERT) and a novel stance-centered graph attention networks (SCGAT). Specifically, BERT is used to capture the sentence representation, and SCGAT is designed to capture the stance information on specific target. Extensive experiments are conducted on a Chinese sarcasm sentiment dataset we created and the SemEval-2018 Task 3 English sarcasm dataset. The experimental results prove the effectiveness of the SCGAT framework over state-of-the-art baselines by a large margin.","artificial intelligence, graph attention networks, stance extraction, Sarcasm detection",ACM
24,EfficientNet-based multi-dimensional network optimization for Deepfake video detection,"Zhang, Yong and Zhang, Xinqi and Li, Bingjie",2024,"The rapid development of deep learning techniques, especially generative adversarial networks, has led to the generation of very realistic forged faces. Deepfake technology has brought convenience to society and also produced a large number of undesirable effects. Many detectors have been developed to defend videos generated by Deepfake manipulation techniques. In this paper, we take low overhead and high performance as the task of Deepfake detection and propose a new EfficientNet-B0 combined with ViT Deepfake detection network, which consists of two key components: (1) ConvFFN block, which brings a larger receptive field to the network; (2) Transformer Encoder with Hilo, which separates the high and low frequencies of the attention layer to focus on the global structure. We conducted extensive experiments on the DFDC dataset and the FF++ dataset to demonstrate the stability and practical applicability of the proposed method.","ConvFFN, Deepfake, HiLo, Transformer Encoder",ACM
25,Uncovering Human Traits in Determining Real and Spoofed Audio: Insights from Blind and Sighted Individuals,"Han, Chaeeun and Mitra, Prasenjit and Billah, Syed Masum",2024,"This paper explores how blind and sighted individuals perceive real and spoofed audio, highlighting differences and similarities between the groups. Through two studies, we find that both groups focus on specific human traits in audio�such as accents, vocal inflections, breathing patterns, and emotions�to assess audio authenticity. We further reveal that humans, irrespective of visual ability, can still outperform current state-of-the-art machine learning models in discerning audio authenticity; however, the task proves psychologically demanding. Moreover, detection accuracy scores between blind and sighted individuals are comparable, but each group exhibits unique strengths: the sighted group excels at detecting deepfake-generated audio, while the blind group excels at detecting text-to-speech (TTS) generated audio. These findings not only deepen our understanding of machine-manipulated and neural-renderer audio but also have implications for developing countermeasures, such as perceptible watermarks and human-AI collaboration strategies for spoofing detection.","Audio perception, and audio watermarking, and human-AI collaboration., audio, blind, bona fide audio, deep fake audio, generative AI, neural speech, replay attack, sighted, speech, spoofed audio, text-to-speech (TTS), vision impairments, voice",ACM
26,WildDeepfake: A Challenging Real-World Dataset for Deepfake Detection,"Zi, Bojia and Chang, Minghao and Chen, Jingjing and Ma, Xingjun and Jiang, Yu-Gang",2020,"In recent years, the abuse of a face swap technique called deepfake has raised enormous public concerns. So far, a large number of deepfake videos (known as ""deepfakes"") have been crafted and uploaded to the internet, calling for effective countermeasures. One promising countermeasure against deepfakes is deepfake detection. Several deepfake datasets have been released to support the training and testing of deepfake detectors, such as DeepfakeDetection [1] and FaceForensics++ [23]. While this has greatly advanced deepfake detection, most of the real videos in these datasets are filmed with a few volunteer actors in limited scenes, and the fake videos are crafted by researchers using a few popular deepfake softwares. Detectors developed on these datasets may become less effective against real-world deepfakes on the internet. To better support detection against real-world deepfakes, in this paper, we introduce a new dataset WildDeepfake, which consists of 7,314 face sequences extracted from 707 deepfake videos collected completely from the internet. WildDeepfake is a small dataset that can be used, in addition to existing datasets, to develop and test the effectiveness of deepfake detectors against real-world deepfakes. We conduct a systematic evaluation of a set of baseline detection networks on both existing and our WildDeepfake datasets, and show that WildDeepfake is indeed a more challenging dataset, where the detection performance can decrease drastically. We also propose two (eg. 2D and 3D) Attention-based Deepfake Detection Networks (ADDNets) to leverage the attention masks on real/fake faces for improved detection. We empirically verify the effectiveness of ADDNets on both existing datasets and WildDeepfake. The dataset is available at: https://github.com/deepfakeinthewild/deepfake-in-the-wild.","deepfake detection, deep learning, datasets",ACM
